85526,2005018
210926,2005018
116866,2005018
177458,2005018
8,2005018
123629,2005018
219008,2005018
41385,2005018
96054,2005018
11400,2005018
11676,2005018
263325,2005018
67544,2005018
200273,2005018
274004,2251760
123883,2251760
37712,2251760
152249,2251760
250948,2251760
235588,2251760
158254,2251760
271195,2251760
141157,2251760
14456,2251760
142524,2251760
148173,2251760
69721,2251760
171118,2255081
225087,2255081
244881,2255081
50547,2255081
213090,2255081
260655,2255081
72214,2255081
189334,2255081
36326,2255081
189336,2255081
189334,2257203
260655,2257203
162100,2257203
54946,2257203
260965,2257203
102758,2257203
112602,2257203
163925,2257203
262998,2257203
144717,2257203
